annotator,query_id,returned_at_10,p_at_10,strict_p_at_10,ndcg_at_10
Adjudicated_Consensus,E01,10,1.0,0.5,0.968073
Adjudicated_Consensus,E02,10,1.0,0.5,0.844034
Adjudicated_Consensus,E03,10,1.0,0.9,0.989712
Adjudicated_Consensus,E04,10,1.0,1.0,1.0
Adjudicated_Consensus,E05,10,1.0,0.9,1.0
Adjudicated_Consensus,E06,10,1.0,1.0,1.0
Adjudicated_Consensus,E07,10,0.9,0.5,0.957264
Adjudicated_Consensus,E08,10,0.6,0.6,0.961701
Adjudicated_Consensus,E09,10,0.3,0.0,0.83957
Adjudicated_Consensus,E10,10,1.0,0.0,1.0
Adjudicated_Consensus,E11,10,0.4,0.0,0.82769
Adjudicated_Consensus,E12,10,0.2,0.0,0.877215
Adjudicated_Consensus,E13,10,0.5,0.0,0.725864
Adjudicated_Consensus,E14,10,0.4,0.0,0.926758
Adjudicated_Consensus,E15,10,0.3,0.1,1.0
Adjudicated_Consensus,E16,10,1.0,0.0,1.0
Adjudicated_Consensus,E17,10,0.6,0.2,0.700734
Adjudicated_Consensus,E18,10,1.0,1.0,1.0
Adjudicated_Consensus,E19,10,1.0,0.0,1.0
Adjudicated_Consensus,E20,10,0.9,0.3,0.891953
Adjudicated_Consensus,E21,10,1.0,0.9,0.995955
Adjudicated_Consensus,E22,10,1.0,0.4,0.804889
Adjudicated_Consensus,E23,10,1.0,1.0,1.0
Adjudicated_Consensus,E24,10,1.0,0.3,0.932406
Adjudicated_Consensus,E25,10,1.0,1.0,1.0
Adjudicated_Consensus,E26,10,1.0,0.9,0.989712
Adjudicated_Consensus,E27,10,0.9,0.8,1.0
Adjudicated_Consensus,E28,10,1.0,1.0,1.0
Adjudicated_Consensus,E29,10,1.0,0.0,1.0
Adjudicated_Consensus,E30,10,0.0,0.0,0.0
