annotator,query_id,returned_at_10,p_at_10,strict_p_at_10,ndcg_at_10
Evaluator_A,E01,10,0.9,0.5,0.956439
Evaluator_A,E02,10,0.9,0.6,0.824716
Evaluator_A,E03,10,1.0,0.9,0.989712
Evaluator_A,E04,10,1.0,1.0,1.0
Evaluator_A,E05,10,1.0,0.5,0.876674
Evaluator_A,E06,10,1.0,1.0,1.0
Evaluator_A,E07,10,0.7,0.7,0.97312
Evaluator_A,E08,10,1.0,0.4,1.0
Evaluator_A,E09,10,0.3,0.0,0.83957
Evaluator_A,E10,10,1.0,0.0,1.0
Evaluator_A,E11,10,0.8,0.2,0.643855
Evaluator_A,E12,10,0.6,0.0,0.897872
Evaluator_A,E13,10,0.6,0.1,0.648714
Evaluator_A,E14,10,0.4,0.0,0.926758
Evaluator_A,E15,10,0.3,0.1,0.955328
Evaluator_A,E16,10,1.0,0.0,1.0
Evaluator_A,E17,10,0.9,0.3,0.7255
Evaluator_A,E18,10,1.0,1.0,1.0
Evaluator_A,E19,10,1.0,0.0,1.0
Evaluator_A,E20,10,0.8,0.7,0.941009
Evaluator_A,E21,10,1.0,0.9,0.995955
Evaluator_A,E22,10,1.0,0.8,0.876935
Evaluator_A,E23,10,1.0,0.9,0.891066
Evaluator_A,E24,10,1.0,0.4,0.938429
Evaluator_A,E25,10,1.0,1.0,1.0
Evaluator_A,E26,10,1.0,1.0,1.0
Evaluator_A,E27,10,0.9,0.9,1.0
Evaluator_A,E28,10,1.0,1.0,1.0
Evaluator_A,E29,10,1.0,0.0,1.0
Evaluator_A,E30,10,0.0,0.0,0.0
Evaluator_B,E01,10,1.0,0.5,0.968073
Evaluator_B,E02,10,1.0,0.7,0.975039
Evaluator_B,E03,10,1.0,0.9,0.989712
Evaluator_B,E04,10,1.0,1.0,1.0
Evaluator_B,E05,10,1.0,0.9,1.0
Evaluator_B,E06,10,1.0,0.9,0.995955
Evaluator_B,E07,10,1.0,0.6,0.954868
Evaluator_B,E08,10,0.6,0.4,0.910425
Evaluator_B,E09,10,0.3,0.0,0.83957
Evaluator_B,E10,10,1.0,0.0,1.0
Evaluator_B,E11,10,0.4,0.2,0.634328
Evaluator_B,E12,10,0.2,0.0,0.877215
Evaluator_B,E13,10,0.6,0.0,0.950226
Evaluator_B,E14,10,0.4,0.0,0.926758
Evaluator_B,E15,10,0.2,0.1,0.96394
Evaluator_B,E16,10,1.0,0.0,1.0
Evaluator_B,E17,10,0.6,0.1,0.721569
Evaluator_B,E18,10,1.0,0.9,0.989712
Evaluator_B,E19,10,1.0,0.0,1.0
Evaluator_B,E20,10,1.0,0.4,0.92927
Evaluator_B,E21,10,1.0,0.7,0.961516
Evaluator_B,E22,10,1.0,0.3,0.770057
Evaluator_B,E23,10,1.0,1.0,1.0
Evaluator_B,E24,10,1.0,0.3,0.932406
Evaluator_B,E25,10,1.0,0.9,0.947617
Evaluator_B,E26,10,1.0,0.9,0.989712
Evaluator_B,E27,10,0.9,0.5,0.985328
Evaluator_B,E28,10,1.0,0.8,0.997681
Evaluator_B,E29,10,1.0,0.0,1.0
Evaluator_B,E30,10,0.2,0.0,0.388958
