query_id,system,rank,status,elapsed_s,record_key,accession,source,title,omics_type,organism,sample_count,relevance_score,source_url
T01,bioscouter_keyword,1,200,6.213,ena|PRJNA566386,PRJNA566386,ena,DNA methylation in airway epithelial cells isloated by pronase and bronchial brush from individuals with and without asthma,genomics,Homo sapiens,0,1.0,https://www.ebi.ac.uk/ena/browser/view/PRJNA566386
T01,bioscouter_keyword,2,200,6.213,ena|PRJNA931313,PRJNA931313,ena,Distinct Epithelial-Innate Immune Cell Transcriptional Circuits Underlie Airway Hyperresponsiveness in Asthma,transcriptomics,,0,1.0,https://www.ebi.ac.uk/ena/browser/view/PRJNA931313
T01,bioscouter_keyword,3,200,6.213,ena|PRJNA188406,PRJNA188406,ena,"Expression data from airway epithelial cells from patients with asthma, rhinitis, and helathy controls",genomics,Homo sapiens,0,1.0,https://www.ebi.ac.uk/ena/browser/view/PRJNA188406
T01,bioscouter_keyword,4,200,6.213,ena|PRJNA222885,PRJNA222885,ena,"Expression data from airway epithelial cells stimulated with Poly(I:C) from patients with asthma, rhinitis, and healthy controls",genomics,Homo sapiens,0,1.0,https://www.ebi.ac.uk/ena/browser/view/PRJNA222885
T01,bioscouter_keyword,5,200,6.213,ena|PRJNA260343,PRJNA260343,ena,Phenotypic responses of differentiated asthmatic human airway epithelial cultures to rhinovirus,transcriptomics,Homo sapiens,0,1.0,https://www.ebi.ac.uk/ena/browser/view/PRJNA260343
T01,bioscouter_keyword,6,200,6.213,ena|PRJNA280004,PRJNA280004,ena,Airway epithelial gene expression in asthma versus healthy controls,genomics,Homo sapiens,0,1.0,https://www.ebi.ac.uk/ena/browser/view/PRJNA280004
T01,bioscouter_keyword,7,200,6.213,ena|PRJNA151183,PRJNA151183,ena,Airway Epithelial miRNA Expression in Asthma,genomics,Homo sapiens,0,1.0,https://www.ebi.ac.uk/ena/browser/view/PRJNA151183
T01,bioscouter_keyword,8,200,6.213,ena|PRJNA94683,PRJNA94683,ena,"Genome-Wide Profiling of Airway Epithelial Cells in Asthmatics, Smokers and Healthy Controls",genomics,Homo sapiens,0,1.0,https://www.ebi.ac.uk/ena/browser/view/PRJNA94683
T01,bioscouter_keyword,9,200,6.213,ena|PRJNA164689,PRJNA164689,ena,"DNA Methylation Profiles of Airway Epithelial Cells and PBMCs from Healthy, Atopic and Asthmatic Children.",genomics,Homo sapiens,0,1.0,https://www.ebi.ac.uk/ena/browser/view/PRJNA164689
T01,bioscouter_keyword,10,200,6.213,ena|PRJNA272504,PRJNA272504,ena,Altered epithelial gene expression in peripheral airways of severe asthma,genomics,Homo sapiens,0,1.0,https://www.ebi.ac.uk/ena/browser/view/PRJNA272504
T01,bioscouter_embedding,1,200,6.213,geo|GSE241016,GSE241016,geo,Distinct Epithelial-Innate Immune Cell Transcriptional Circuits Underlie Airway Hyperresponsiveness in Asthma,transcriptomics,Homo sapiens,20,0.740474,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE241016
T01,bioscouter_embedding,2,200,6.213,ena|PRJNA973999,PRJNA973999,ena,RNA-sequencing (RNAseq) of human small airway epithelial cells treated with neutrophil extracellular traps,transcriptomics,Homo sapiens,0,0.739897,https://www.ebi.ac.uk/ena/browser/view/PRJNA973999
T01,bioscouter_embedding,3,200,6.213,ena|PRJNA931313,PRJNA931313,ena,Distinct Epithelial-Innate Immune Cell Transcriptional Circuits Underlie Airway Hyperresponsiveness in Asthma,transcriptomics,,0,0.732222,https://www.ebi.ac.uk/ena/browser/view/PRJNA931313
T01,bioscouter_embedding,4,200,6.213,ena|PRJNA1311636,PRJNA1311636,ena,Effects of AQI on airway epithelial omics in children with asthma,genomics,Homo sapiens,0,0.707233,https://www.ebi.ac.uk/ena/browser/view/PRJNA1311636
T01,bioscouter_embedding,5,200,6.213,ena|PRJNA1311635,PRJNA1311635,ena,Effects of AQI on airway epithelial omics in children with asthma,genomics,Homo sapiens,0,0.707233,https://www.ebi.ac.uk/ena/browser/view/PRJNA1311635
