query_id,pool_id,system,rank,record_key
T01,fd9f7e6539b59a7b,bioscouter_keyword,1,ena|PRJNA566386
T01,571d4f0028113786,bioscouter_keyword,2,ena|PRJNA931313
T01,e919cc3b8a63ec2e,bioscouter_keyword,3,ena|PRJNA188406
T01,767c3038ea3bc18d,bioscouter_keyword,4,ena|PRJNA222885
T01,65f85f2d97a18694,bioscouter_keyword,5,ena|PRJNA260343
T01,0f5bd15d1294279d,bioscouter_keyword,6,ena|PRJNA280004
T01,84644ee3cd7b28fe,bioscouter_keyword,7,ena|PRJNA151183
T01,adbd975dd3e86525,bioscouter_keyword,8,ena|PRJNA94683
T01,8e036136bb94d463,bioscouter_keyword,9,ena|PRJNA164689
T01,10857bc7805b767e,bioscouter_keyword,10,ena|PRJNA272504
T01,aeb990f22944bed8,bioscouter_embedding,1,geo|GSE241016
T01,87df1a18f131d50d,bioscouter_embedding,2,ena|PRJNA973999
T01,571d4f0028113786,bioscouter_embedding,3,ena|PRJNA931313
T01,7c1438e3904ce898,bioscouter_embedding,4,ena|PRJNA1311636
T01,adca1a4049f2a744,bioscouter_embedding,5,ena|PRJNA1311635
T01,c53f6fe9444753d9,bioscouter_embedding,6,geo|GSE61141
T01,767c3038ea3bc18d,bioscouter_embedding,7,ena|PRJNA222885
T01,c95343b984cac5cc,bioscouter_embedding,8,geo|GSE85567
T01,c813489e746b02a9,bioscouter_embedding,9,geo|GSE232805
T01,84644ee3cd7b28fe,bioscouter_embedding,10,ena|PRJNA151183
T01,aeb990f22944bed8,bioscouter_hybrid,1,geo|GSE241016
T01,87df1a18f131d50d,bioscouter_hybrid,2,ena|PRJNA973999
T01,571d4f0028113786,bioscouter_hybrid,3,ena|PRJNA931313
T01,7c1438e3904ce898,bioscouter_hybrid,4,ena|PRJNA1311636
T01,adca1a4049f2a744,bioscouter_hybrid,5,ena|PRJNA1311635
T01,c53f6fe9444753d9,bioscouter_hybrid,6,geo|GSE61141
T01,767c3038ea3bc18d,bioscouter_hybrid,7,ena|PRJNA222885
T01,c95343b984cac5cc,bioscouter_hybrid,8,geo|GSE85567
T01,c813489e746b02a9,bioscouter_hybrid,9,geo|GSE232805
T01,84644ee3cd7b28fe,bioscouter_hybrid,10,ena|PRJNA151183
T01,c8a2a5659a931952,native_source_api,1,geo|GSE313889
T01,a40e271000e0204b,native_source_api,2,geo|GSE309698
T01,a77c41b490ec9f52,native_source_api,3,geo|GSE237586
T01,f102eb03ec78393c,native_source_api,4,geo|GSE297032
T01,f97dbd420b397973,native_source_api,5,geo|GSE310981
T01,8a5a06c6389dd73b,native_source_api,6,geo|GSE273687
T01,75cef20302b82cad,native_source_api,7,geo|GSE325003
T01,1e4192af6a01de53,native_source_api,8,geo|GSE294310
T01,234286df3d926c1c,native_source_api,9,geo|GSE325572
T01,3caa3f529cb033ed,native_source_api,10,geo|GSE294780
T01,6d5bc385c91f7c5f,omicsdi,1,biostudies-arrayexpress|E-GEOD-61141
