query_id,system,returned_at_k,p_at_10,strict_p_at_10,ndcg_at_10,mrr_at_10,pooled_relevant_coverage_at_10,zero_result
EPI01,bioscouter_keyword,10,1.0,0.5,0.711362,1.0,0.344828,0
EPI01,bioscouter_embedding,10,1.0,0.8,0.913417,1.0,0.344828,0
EPI01,bioscouter_hybrid,10,1.0,0.8,0.913417,1.0,0.344828,0
EPI01,native_source_api,0,0.0,0.0,0.0,0.0,0.0,1
EPI01,omicsdi,10,1.0,0.1,0.480061,1.0,0.344828,0
EPI02,bioscouter_keyword,10,0.8,0.7,0.736452,1.0,0.296296,0
EPI02,bioscouter_embedding,10,0.6,0.5,0.404187,0.2,0.222222,0
EPI02,bioscouter_hybrid,10,0.6,0.5,0.404187,0.2,0.222222,0
EPI02,native_source_api,10,0.6,0.3,0.420295,0.5,0.222222,0
EPI02,omicsdi,10,1.0,0.9,0.943238,1.0,0.37037,0
EPI03,bioscouter_keyword,10,1.0,0.9,0.936808,1.0,0.47619,0
EPI03,bioscouter_embedding,10,1.0,0.9,0.951091,1.0,0.47619,0
EPI03,bioscouter_hybrid,10,1.0,0.9,0.951091,1.0,0.47619,0
EPI03,native_source_api,10,0.9,0.6,0.752469,1.0,0.428571,0
EPI03,omicsdi,10,0.7,0.3,0.532866,1.0,0.333333,0
EPI04,bioscouter_keyword,10,1.0,0.6,0.845311,1.0,0.5,0
EPI04,bioscouter_embedding,10,1.0,0.5,0.822923,1.0,0.5,0
EPI04,bioscouter_hybrid,10,1.0,0.5,0.822923,1.0,0.5,0
EPI04,native_source_api,10,0.9,0.5,0.787609,1.0,0.45,0
EPI04,omicsdi,10,0.8,0.2,0.426599,0.25,0.4,0
EPI05,bioscouter_keyword,10,1.0,0.6,0.762081,1.0,0.333333,0
EPI05,bioscouter_embedding,10,1.0,0.4,0.63202,1.0,0.333333,0
EPI05,bioscouter_hybrid,10,1.0,0.4,0.622784,1.0,0.333333,0
EPI05,native_source_api,10,0.9,0.4,0.647864,1.0,0.3,0
EPI05,omicsdi,10,0.9,0.5,0.662136,1.0,0.3,0
EPI06,bioscouter_keyword,10,0.7,0.6,0.722045,1.0,0.25,0
EPI06,bioscouter_embedding,10,1.0,0.7,0.835633,1.0,0.357143,0
EPI06,bioscouter_hybrid,10,0.9,0.6,0.774298,1.0,0.321429,0
EPI06,native_source_api,0,0.0,0.0,0.0,0.0,0.0,1
EPI06,omicsdi,10,1.0,0.4,0.684738,1.0,0.357143,0
EPI07,bioscouter_keyword,10,1.0,0.7,0.852538,1.0,0.322581,0
EPI07,bioscouter_embedding,10,1.0,0.6,0.774677,1.0,0.322581,0
EPI07,bioscouter_hybrid,10,1.0,0.6,0.774677,1.0,0.322581,0
EPI07,native_source_api,10,0.8,0.2,0.527408,1.0,0.258065,0
EPI07,omicsdi,10,1.0,0.3,0.616617,1.0,0.322581,0
EPI08,bioscouter_keyword,10,0.8,0.7,0.750996,1.0,0.25,0
EPI08,bioscouter_embedding,10,1.0,0.0,0.333333,0.0,0.3125,0
EPI08,bioscouter_hybrid,10,1.0,0.0,0.333333,0.0,0.3125,0
EPI08,native_source_api,10,0.6,0.3,0.528663,1.0,0.1875,0
EPI08,omicsdi,10,1.0,0.3,0.589541,1.0,0.3125,0
G01,bioscouter_keyword,10,0.3,0.1,0.292567,0.25,0.157895,0
G01,bioscouter_embedding,10,0.9,0.1,0.749579,0.25,0.473684,0
G01,bioscouter_hybrid,10,0.9,0.1,0.749579,0.25,0.473684,0
G01,native_source_api,10,0.3,0.1,0.292567,0.25,0.157895,0
