"panel","system","source","record_count","queries_with_source_records","panel_query_count","record_scope","query_status_summary","source_request_status","source_http_status","deduplication_status","evidence_file"
"L10","bioscouter","MassIVE","150","3","10","source-attributed records summed across L10 queries; cross-query uniqueness not established","not captured in source aggregate","not captured","not captured","not established across queries","reproducibility/benchmark-freeze.json"
"L10","bioscouter","GEO","106","7","10","source-attributed records summed across L10 queries; cross-query uniqueness not established","not captured in source aggregate","not captured","not captured","not established across queries","reproducibility/benchmark-freeze.json"
"L10","bioscouter","CPTAC","104","3","10","source-attributed records summed across L10 queries; cross-query uniqueness not established","not captured in source aggregate","not captured","not captured","not established across queries","reproducibility/benchmark-freeze.json"
"L10","bioscouter","CellxGene","50","1","10","source-attributed records summed across L10 queries; cross-query uniqueness not established","not captured in source aggregate","not captured","not captured","not established across queries","reproducibility/benchmark-freeze.json"
"L10","bioscouter","MetaboLights","50","1","10","source-attributed records summed across L10 queries; cross-query uniqueness not established","not captured in source aggregate","not captured","not captured","not established across queries","reproducibility/benchmark-freeze.json"
"L10","bioscouter","HCA","25","1","10","source-attributed records summed across L10 queries; cross-query uniqueness not established","not captured in source aggregate","not captured","not captured","not established across queries","reproducibility/benchmark-freeze.json"
"L10","bioscouter","ENA","11","2","10","source-attributed records summed across L10 queries; cross-query uniqueness not established","not captured in source aggregate","not captured","not captured","not established across queries","reproducibility/benchmark-freeze.json"
"L10","bioscouter","MGnify","5","1","10","source-attributed records summed across L10 queries; cross-query uniqueness not established","not captured in source aggregate","not captured","not captured","not established across queries","reproducibility/benchmark-freeze.json"
"L10","bioscouter","GDC","1","1","10","source-attributed records summed across L10 queries; cross-query uniqueness not established","not captured in source aggregate","not captured","not captured","not established across queries","reproducibility/benchmark-freeze.json"
"E01-E30","bioscouter","ena","997","12","30","source-attributed records summed across capped E01-E30 query outputs; cross-query uniqueness not assessed","30/30 query/API responses status 200","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/expanded-benchmark-20260702-153134/expanded-benchmark-freeze.json"
"E01-E30","bioscouter","geo","649","16","30","source-attributed records summed across capped E01-E30 query outputs; cross-query uniqueness not assessed","30/30 query/API responses status 200","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/expanded-benchmark-20260702-153134/expanded-benchmark-freeze.json"
"E01-E30","bioscouter","cptac","369","7","30","source-attributed records summed across capped E01-E30 query outputs; cross-query uniqueness not assessed","30/30 query/API responses status 200","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/expanded-benchmark-20260702-153134/expanded-benchmark-freeze.json"
"E01-E30","bioscouter","metabolights","322","4","30","source-attributed records summed across capped E01-E30 query outputs; cross-query uniqueness not assessed","30/30 query/API responses status 200","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/expanded-benchmark-20260702-153134/expanded-benchmark-freeze.json"
"E01-E30","bioscouter","cellxgene","124","3","30","source-attributed records summed across capped E01-E30 query outputs; cross-query uniqueness not assessed","30/30 query/API responses status 200","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/expanded-benchmark-20260702-153134/expanded-benchmark-freeze.json"
"E01-E30","bioscouter","massive","89","6","30","source-attributed records summed across capped E01-E30 query outputs; cross-query uniqueness not assessed","30/30 query/API responses status 200","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/expanded-benchmark-20260702-153134/expanded-benchmark-freeze.json"
"E01-E30","bioscouter","mgnify","75","4","30","source-attributed records summed across capped E01-E30 query outputs; cross-query uniqueness not assessed","30/30 query/API responses status 200","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/expanded-benchmark-20260702-153134/expanded-benchmark-freeze.json"
"E01-E30","bioscouter","encode","55","3","30","source-attributed records summed across capped E01-E30 query outputs; cross-query uniqueness not assessed","30/30 query/API responses status 200","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/expanded-benchmark-20260702-153134/expanded-benchmark-freeze.json"
"E01-E30","bioscouter","gdc","35","3","30","source-attributed records summed across capped E01-E30 query outputs; cross-query uniqueness not assessed","30/30 query/API responses status 200","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/expanded-benchmark-20260702-153134/expanded-benchmark-freeze.json"
"E01-E30","bioscouter","hca","20","3","30","source-attributed records summed across capped E01-E30 query outputs; cross-query uniqueness not assessed","30/30 query/API responses status 200","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/expanded-benchmark-20260702-153134/expanded-benchmark-freeze.json"
"E01-E30","bioscouter","pride","12","3","30","source-attributed records summed across capped E01-E30 query outputs; cross-query uniqueness not assessed","30/30 query/API responses status 200","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/expanded-benchmark-20260702-153134/expanded-benchmark-freeze.json"
"E01-E30","bioscouter","mgrast","6","2","30","source-attributed records summed across capped E01-E30 query outputs; cross-query uniqueness not assessed","30/30 query/API responses status 200","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/expanded-benchmark-20260702-153134/expanded-benchmark-freeze.json"
"T01-T80","bioscouter_keyword","cellxgene","49","9","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","bioscouter_keyword","cptac","144","20","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","bioscouter_keyword","ena","268","29","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","bioscouter_keyword","gdc","2","2","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
